contract_id,vendor_id,contract_name,contract_type,start_date,end_date,auto_renew,notice_period_days,total_value_cap_usd,currency,payment_terms_days,status,document_path
CTR-0001,VEND-00001,Stratos Cloud - Enterprise Hosting MSA,MSA,2024-06-01,2026-05-31,True,60,1800000,USD,60,Active,contracts/CTR-0001_stratos_cloud_msa.pdf
CTR-0002,VEND-00002,Keystone Analytics - Annual Subscription,Subscription,2025-07-01,2026-06-30,True,30,420000,USD,30,Active,contracts/CTR-0002_keystone_analytics_subscription.md
CTR-0003,VEND-00003,Orion Logistics - Freight Services MSA,MSA,2024-01-01,2026-12-31,False,90,2400000,USD,45,Active,contracts/CTR-0003_orion_logistics_msa.pdf
CTR-0004,VEND-00004,Harbor Legal - Retainer Agreement,Retainer,2025-04-01,2026-03-31,False,60,180000,USD,30,Expired,contracts/CTR-0004_harbor_legal_retainer.md
CTR-0005,VEND-00005,Redwood Staffing - MSA + SOW 2026,MSA,2026-01-15,2027-01-14,True,30,650000,USD,45,Active,contracts/CTR-0005_redwood_staffing_msa.md
CTR-0006,VEND-00006,Palisade Media - Brand Campaign SOW,SOW,2025-10-01,2026-06-30,False,30,320000,USD,30,Active,contracts/CTR-0006_palisade_media_sow.md
CTR-0007,VEND-00007,Lattice Telecom - Network Services Blanket,Blanket PO,2024-04-01,2026-06-30,True,90,540000,USD,30,Active,contracts/CTR-0007_lattice_telecom_blanket.md
CTR-0008,VEND-00008,Meridian Office Supply - Blanket PO,Blanket PO,2025-01-01,2026-12-31,True,30,95000,USD,45,Active,contracts/CTR-0008_meridian_office_blanket.md
CTR-0009,VEND-00009,Nimbus IT Hardware - Device Refresh SOW,SOW,2025-08-01,2026-07-31,False,60,880000,USD,30,Active,contracts/CTR-0009_nimbus_hardware_sow.md
CTR-0010,VEND-00010,Polaris Consulting - Transformation MSA,MSA,2024-09-01,2026-08-31,True,60,1250000,USD,45,Active,contracts/CTR-0010_polaris_consulting_msa.md
CTR-0011,VEND-00011,Juniper Facilities - Cleaning Services,Subscription,2024-07-01,2026-06-30,True,30,210000,USD,30,Active,contracts/CTR-0011_juniper_facilities_subscription.md
CTR-0012,VEND-00012,Kestrel Travel - Corporate Travel Agreement,MSA,2025-02-01,2027-01-31,False,90,450000,USD,30,Active,contracts/CTR-0012_kestrel_travel_msa.md
CTR-0013,VEND-00013,Aperture SaaS - Multi-Year Subscription,Subscription,2024-10-01,2027-09-30,True,60,780000,USD,60,Active,contracts/CTR-0013_aperture_saas_subscription.pdf
CTR-0014,VEND-00014,Summit Cloud - DR & Backup Services,Subscription,2025-05-01,2026-04-30,True,30,240000,USD,30,Active,contracts/CTR-0014_summit_cloud_subscription.md
CTR-0015,VEND-00015,Beacon Marketing - Performance Retainer,Retainer,2026-01-01,2026-12-31,False,60,360000,USD,30,Active,contracts/CTR-0015_beacon_marketing_retainer.md
CTR-0016,VEND-00050,Legacy Print Services MSA,MSA,2023-01-01,2025-12-31,False,60,120000,USD,45,Active,
CTR-0017,VEND-00024,Tidewater Co. - Subscription,Subscription,2023-11-07,2026-10-22,False,30,650000,EUR,45,Active,
CTR-0018,VEND-00130,Ironclad Systems - Blanket PO,Blanket PO,2025-05-19,2027-05-09,True,30,275000,USD,30,Active,
CTR-0019,VEND-00059,Veridian Studio - SOW,SOW,2023-03-05,2026-02-17,False,60,590000,USD,30,Expired,
CTR-0020,VEND-00022,Relay Works - MSA,MSA,2024-01-24,2025-07-17,False,90,1270000,USD,30,Expired,
CTR-0021,VEND-00041,Fairway Supply Co. - MSA,MSA,2024-06-08,2026-05-29,True,30,720000,USD,45,Active,
CTR-0022,VEND-00105,Zenith Advisors - SOW,SOW,2025-09-15,2027-09-05,True,60,690000,USD,30,Active,
