invoice_id,po_id,vendor_id,invoice_date,due_date,amount,currency,status,payment_terms_days,paid_date
INV-000001,PO-00001,VEND-00106,2024-05-23,2024-06-22,85000,USD,Paid,30,2024-06-16
INV-000002,PO-00002,VEND-00140,2024-08-04,2024-10-03,3100,USD,Paid,60,2024-09-23
INV-000003,PO-00003,VEND-00189,2023-12-02,2024-01-01,25000,USD,Disputed,30,
INV-000004,PO-00004,VEND-00037,2024-12-17,2025-01-31,29050.0,USD,Paid,45,2025-01-24
INV-000005,PO-00005,VEND-00131,2023-03-17,2023-05-01,7500,USD,Paid,45,2023-04-30
INV-000006,PO-00006,VEND-00132,2026-04-14,2026-05-29,3100,USD,Pending,45,
INV-000007,PO-00009,VEND-00013,2023-04-14,2023-06-13,4600,USD,Paid,60,2023-06-10
INV-000008,PO-00011,VEND-00072,2023-03-01,2023-03-31,5300,USD,Paid,30,2023-03-20
INV-000009,PO-00013,VEND-00168,2026-02-22,2026-04-08,2050.0,USD,Paid,45,2026-04-02
INV-000010,PO-00014,VEND-00005,2025-04-25,2025-06-09,7000,USD,Overdue,45,
INV-000011,PO-00015,VEND-00076,2023-04-14,2023-06-13,1800,USD,Paid,60,2023-06-02
INV-000012,PO-00016,VEND-00120,2024-05-18,2024-06-17,3700,USD,Paid,30,2024-06-15
INV-000013,PO-00017,VEND-00054,2024-11-26,2024-12-26,6500,USD,Paid,30,2024-12-16
INV-000014,PO-00019,VEND-00071,2023-07-18,2023-09-01,5800,USD,Paid,45,2023-08-28
INV-000015,PO-00021,VEND-00185,2024-09-14,2024-10-29,3900.0,USD,Paid,45,2024-10-27
INV-000016,PO-00022,VEND-00064,2024-11-26,2025-01-25,5100,USD,Paid,60,2025-01-22
INV-000017,PO-00023,VEND-00078,2025-05-07,2025-06-06,17500,USD,Paid,30,2025-06-02
INV-000018,PO-00024,VEND-00064,2023-12-03,2024-02-01,800,USD,Overdue,60,
INV-000019,PO-00025,VEND-00194,2025-12-21,2026-02-19,390.0,USD,Paid,60,2026-02-10
INV-000020,PO-00026,VEND-00199,2024-10-16,2024-11-15,39000,USD,Paid,30,2024-11-03
INV-000021,PO-00027,VEND-00075,2025-02-23,2025-04-24,12500,USD,Paid,60,2025-04-23
INV-000022,PO-00028,VEND-00140,2023-09-10,2023-11-09,6900,USD,Paid,60,2023-10-31
INV-000023,PO-00029,VEND-00039,2025-06-13,2025-08-12,1000.0,USD,Overdue,60,
INV-000024,PO-00030,VEND-00027,2025-05-07,2025-07-06,2100,USD,Paid,60,2025-07-05
INV-000025,PO-00031,VEND-00177,2024-01-04,2024-02-18,6000,USD,Paid,45,2024-02-07
INV-000026,PO-00032,VEND-00052,2023-10-17,2023-12-16,56000,USD,Paid,60,2023-12-12
INV-000027,PO-00033,VEND-00012,2024-03-20,2024-04-19,5800,USD,Paid,30,2024-04-11
INV-000028,PO-00034,VEND-00066,2024-06-26,2024-07-26,22500,USD,Paid,30,2024-07-16
INV-000029,PO-00035,VEND-00188,2025-09-08,2025-10-08,6100,USD,Paid,30,2025-10-03
INV-000030,PO-00036,VEND-00159,2024-10-01,2024-10-31,41500,USD,Paid,30,2024-10-20
INV-000031,PO-00038,VEND-00007,2025-03-18,2025-04-17,7500,USD,Paid,30,2025-04-11
INV-000032,PO-00039,VEND-00006,2023-11-08,2023-12-08,5100,USD,Paid,30,2023-12-07
INV-000033,PO-00040,VEND-00163,2023-06-12,2023-07-27,76500.0,USD,Paid,45,2023-07-26
INV-000034,PO-00041,VEND-00094,2023-11-20,2023-12-20,1800,USD,Disputed,30,
INV-000035,PO-00042,VEND-00038,2024-07-02,2024-08-16,1080.0,USD,Disputed,45,
INV-000036,PO-00043,VEND-00088,2025-03-24,2025-04-23,4700,USD,Overdue,30,
INV-000037,PO-00044,VEND-00115,2026-02-12,2026-03-14,5600,USD,Paid,30,2026-03-10
INV-000038,PO-00045,VEND-00047,2025-04-26,2025-06-10,43500,USD,Paid,45,2025-06-02
INV-000039,PO-00046,VEND-00008,2025-03-28,2025-05-12,3200,USD,Paid,45,2025-05-04
INV-000040,PO-00048,VEND-00049,2025-11-17,2026-01-01,600,USD,Paid,45,2026-01-01
INV-000041,PO-00049,VEND-00088,2023-04-02,2023-05-02,5800,USD,Paid,30,2023-04-20
INV-000042,PO-00051,VEND-00136,2024-08-16,2024-10-15,600.0,USD,Paid,60,2024-10-07
INV-000043,PO-00052,VEND-00183,2025-11-15,2025-12-15,700,USD,Overdue,30,
INV-000044,PO-00054,VEND-00014,2025-08-22,2025-09-21,19000,USD,Paid,30,2025-09-12
INV-000045,PO-00055,VEND-00133,2024-03-14,2024-04-28,35500,USD,Paid,45,2024-04-27
INV-000046,PO-00056,VEND-00098,2025-06-01,2025-07-31,800,USD,Paid,60,2025-07-24
INV-000047,PO-00057,VEND-00151,2023-12-01,2023-12-31,1600,USD,Paid,30,2023-12-28
INV-000048,PO-00058,VEND-00111,2025-11-04,2025-12-19,6500,USD,Paid,45,2025-12-08
INV-000049,PO-00059,VEND-00029,2023-06-02,2023-07-02,1500.0,USD,Overdue,30,
INV-000050,PO-00060,VEND-00043,2025-07-17,2025-09-15,2300,USD,Paid,60,2025-09-05
INV-000051,PO-00062,VEND-00069,2025-12-16,2026-01-15,39500,USD,Paid,30,2026-01-14
INV-000052,PO-00064,VEND-00015,2024-04-16,2024-05-16,900,USD,Paid,30,2024-05-10
INV-000053,PO-00065,VEND-00099,2024-07-27,2024-09-10,3000,USD,Paid,45,2024-09-01
INV-000054,PO-00066,VEND-00068,2023-09-10,2023-11-09,199000,USD,Paid,60,2023-11-06
INV-000055,PO-00067,VEND-00157,2023-07-08,2023-09-06,18200.0,USD,Paid,60,2023-08-29
INV-000056,PO-00068,VEND-00009,2025-03-03,2025-04-02,35000,USD,Paid,30,2025-04-01
INV-000057,PO-00069,VEND-00065,2024-06-12,2024-08-11,1200,USD,Disputed,60,
INV-000058,PO-00070,VEND-00129,2025-06-29,2025-07-29,224000,USD,Paid,30,2025-07-22
INV-000059,PO-00071,VEND-00124,2026-01-16,2026-03-17,4200,USD,Paid,60,2026-03-09
INV-000060,PO-00072,VEND-00165,2023-04-22,2023-06-21,35500,USD,Paid,60,2023-06-20
INV-000061,PO-00073,VEND-00007,2025-12-23,2026-01-22,4300,USD,Paid,30,2026-01-21
INV-000062,PO-00075,VEND-00049,2023-09-12,2023-10-27,234000,USD,Paid,45,2023-10-16
INV-000063,PO-00076,VEND-00086,2024-09-22,2024-10-22,241000,USD,Overdue,30,
INV-000064,PO-00079,VEND-00178,2024-01-29,2024-03-14,41000,USD,Paid,45,2024-03-03
INV-000065,PO-00080,VEND-00040,2024-06-10,2024-07-10,225000,USD,Paid,30,2024-07-08
INV-000066,PO-00081,VEND-00067,2023-04-15,2023-06-14,2870.0,USD,Paid,60,2023-06-14
INV-000067,PO-00082,VEND-00092,2025-09-07,2025-11-06,240000,USD,Paid,60,2025-10-27
INV-000068,PO-00083,VEND-00069,2023-09-12,2023-10-12,19000,USD,Paid,30,2023-10-07
INV-000069,PO-00084,VEND-00124,2024-07-31,2024-09-29,700,USD,Paid,60,2024-09-27
INV-000070,PO-00085,VEND-00021,2024-10-26,2024-12-25,5500,USD,Paid,60,2024-12-22
INV-000071,PO-00086,VEND-00001,2024-11-11,2025-01-10,40500,USD,Paid,60,2025-01-04
INV-000072,PO-00087,VEND-00168,2025-11-21,2026-01-05,21500,USD,Overdue,45,
INV-000073,PO-00088,VEND-00035,2023-01-31,2023-03-17,25500,USD,Disputed,45,
INV-000074,PO-00090,VEND-00107,2025-08-31,2025-09-30,1900,USD,Paid,30,2025-09-26
INV-000075,PO-00091,VEND-00033,2023-12-22,2024-02-20,2800,USD,Paid,60,2024-02-15
INV-000076,PO-00092,VEND-00025,2025-04-03,2025-05-03,1300,USD,Paid,30,2025-04-29
INV-000077,PO-00093,VEND-00014,2023-02-04,2023-03-06,1700,USD,Paid,30,2023-03-02
INV-000078,PO-00094,VEND-00077,2023-09-17,2023-11-01,76000,USD,Paid,45,2023-10-23
INV-000079,PO-00095,VEND-00066,2024-01-18,2024-02-17,22400.0,USD,Paid,30,2024-02-13
INV-000080,PO-00096,VEND-00102,2024-04-29,2024-05-29,37500,USD,Paid,30,2024-05-29
INV-000081,PO-00097,VEND-00115,2023-01-28,2023-02-27,1200,USD,Paid,30,2023-02-26
INV-000082,PO-00098,VEND-00181,2025-04-28,2025-06-12,40500,USD,Paid,45,2025-06-05
INV-000083,PO-00099,VEND-00091,2024-07-23,2024-09-21,1400,USD,Paid,60,2024-09-17
INV-000084,PO-00100,VEND-00040,2025-02-19,2025-03-21,43500,USD,Paid,30,2025-03-15
INV-000085,PO-00102,VEND-00152,2024-06-06,2024-07-21,11500,USD,Paid,45,2024-07-10
INV-000086,PO-00104,VEND-00113,2024-03-05,2024-04-19,210000,USD,Paid,45,2024-04-19
INV-000087,PO-00106,VEND-00192,2024-12-11,2025-01-10,6400,USD,Paid,30,2024-12-31
INV-000088,PO-00107,VEND-00111,2025-07-25,2025-09-08,24500,USD,Paid,45,2025-09-06
INV-000089,PO-00109,VEND-00192,2024-11-25,2024-12-25,32000,USD,Paid,30,2024-12-14
INV-000090,PO-00110,VEND-00176,2025-07-29,2025-09-12,31000,USD,Paid,45,2025-09-07
INV-000091,PO-00111,VEND-00158,2026-04-14,2026-05-14,15050.0,USD,Paid,30,2026-05-03
INV-000092,PO-00112,VEND-00036,2026-04-16,2026-05-31,41000,USD,Pending,45,
INV-000093,PO-00113,VEND-00062,2026-01-09,2026-03-10,18000.0,USD,Paid,60,2026-03-02
INV-000094,PO-00115,VEND-00154,2025-09-13,2025-11-12,7200,USD,Paid,60,2025-11-08
INV-000095,PO-00116,VEND-00008,2023-03-30,2023-05-14,3400,USD,Paid,45,2023-05-11
INV-000096,PO-00117,VEND-00009,2024-03-24,2024-05-23,18500,USD,Paid,60,2024-05-14
INV-000097,PO-00121,VEND-00106,2025-05-06,2025-06-05,19000,USD,Overdue,30,
INV-000098,PO-00122,VEND-00050,2023-08-27,2023-10-11,229000,USD,Paid,45,2023-10-02
INV-000099,PO-00123,VEND-00104,2023-11-03,2023-12-03,33500,USD,Paid,30,2023-11-27
INV-000100,PO-00124,VEND-00015,2023-03-20,2023-04-19,6000,USD,Paid,30,2023-04-11
INV-000101,PO-00125,VEND-00086,2025-11-17,2025-12-17,6900,USD,Paid,30,2025-12-10
INV-000102,PO-00126,VEND-00176,2025-08-26,2025-10-25,36500,USD,Overdue,60,
INV-000103,PO-00127,VEND-00188,2025-06-27,2025-07-27,16000,USD,Paid,30,2025-07-22
INV-000104,PO-00128,VEND-00141,2024-09-10,2024-10-10,104300.0,USD,Paid,30,2024-10-01
INV-000105,PO-00129,VEND-00026,2025-02-14,2025-03-31,6000,USD,Paid,45,2025-03-19
INV-000106,PO-00130,VEND-00165,2023-07-10,2023-09-08,1900,USD,Paid,60,2023-09-01
INV-000107,PO-00131,VEND-00127,2024-09-10,2024-11-09,2600,USD,Paid,60,2024-11-05
INV-000108,PO-00132,VEND-00100,2024-01-12,2024-03-12,23500,USD,Paid,60,2024-03-05
INV-000109,PO-00133,VEND-00110,2026-03-04,2026-04-03,42500,USD,Paid,30,2026-03-31
INV-000110,PO-00134,VEND-00050,2023-03-04,2023-04-18,45500,USD,Paid,45,2023-04-10
INV-000111,PO-00136,VEND-00019,2025-06-29,2025-07-29,6700,USD,Paid,30,2025-07-26
INV-000112,PO-00137,VEND-00050,2025-11-21,2026-01-05,19250.0,USD,Paid,45,2026-01-04
INV-000113,PO-00138,VEND-00140,2024-10-20,2024-12-19,980.0,USD,Paid,60,2024-12-08
INV-000114,PO-00139,VEND-00004,2024-12-18,2025-01-17,2450.0,USD,Paid,30,2025-01-13
INV-000115,PO-00141,VEND-00170,2025-09-06,2025-10-06,2800.0,USD,Paid,30,2025-09-26
INV-000116,PO-00142,VEND-00084,2026-04-15,2026-06-14,38000,USD,Pending,60,
INV-000117,PO-00143,VEND-00078,2025-06-09,2025-07-09,450000,USD,Paid,30,2025-07-06
INV-000118,PO-00145,VEND-00113,2024-07-26,2024-09-09,6700,USD,Paid,45,2024-09-08
INV-000119,PO-00146,VEND-00145,2024-03-02,2024-05-01,2400,USD,Paid,60,2024-04-28
INV-000120,PO-00147,VEND-00183,2023-04-06,2023-05-06,500,USD,Paid,30,2023-04-30
INV-000121,PO-00150,VEND-00098,2023-09-17,2023-11-16,21500,USD,Paid,60,2023-11-07
INV-000122,PO-00151,VEND-00017,2026-04-15,2026-05-30,243000,USD,Pending,45,
INV-000123,PO-00152,VEND-00073,2023-09-29,2023-11-13,6100,USD,Paid,45,2023-11-09
INV-000124,PO-00153,VEND-00193,2025-02-24,2025-03-26,4050.0,USD,Paid,30,2025-03-20
INV-000125,PO-00154,VEND-00114,2026-03-10,2026-05-09,48000,USD,Pending,60,
INV-000126,PO-00155,VEND-00067,2024-11-23,2025-01-22,24500,USD,Paid,60,2025-01-16
INV-000127,PO-00156,VEND-00065,2024-01-10,2024-03-10,7400,USD,Paid,60,2024-03-08
INV-000128,PO-00157,VEND-00157,2025-10-23,2025-12-22,35000,USD,Paid,60,2025-12-20
INV-000129,PO-00158,VEND-00067,2026-02-07,2026-04-08,32500,USD,Paid,60,2026-04-01
INV-000130,PO-00159,VEND-00080,2025-10-24,2025-12-23,5460.0,USD,Paid,60,2025-12-15
INV-000131,PO-00160,VEND-00061,2024-08-22,2024-10-21,144000,USD,Paid,60,2024-10-20
INV-000132,PO-00161,VEND-00159,2025-07-20,2025-08-19,4400,USD,Paid,30,2025-08-19
INV-000133,PO-00164,VEND-00190,2024-02-19,2024-03-20,4000,USD,Paid,30,2024-03-15
INV-000134,PO-00165,VEND-00157,2023-07-16,2023-09-14,24000,USD,Paid,60,2023-09-12
INV-000135,PO-00166,VEND-00031,2023-06-24,2023-07-24,1600,USD,Paid,30,2023-07-12
INV-000136,PO-00169,VEND-00189,2025-07-29,2025-08-28,238000,USD,Paid,30,2025-08-20
INV-000137,PO-00170,VEND-00086,2025-10-26,2025-11-25,700,USD,Paid,30,2025-11-16
INV-000138,PO-00171,VEND-00152,2024-07-02,2024-08-16,3000,USD,Paid,45,2024-08-04
INV-000139,PO-00172,VEND-00002,2023-10-23,2023-12-07,6100,USD,Paid,45,2023-12-04
INV-000140,PO-00173,VEND-00199,2025-11-05,2025-12-05,600,USD,Paid,30,2025-11-24
INV-000141,PO-00174,VEND-00008,2024-08-25,2024-10-09,39000,USD,Paid,45,2024-10-04
INV-000142,PO-00175,VEND-00083,2025-12-13,2026-01-12,35500,USD,Paid,30,2026-01-11
INV-000143,PO-00176,VEND-00045,2025-06-03,2025-08-02,4500,USD,Paid,60,2025-07-22
INV-000144,PO-00177,VEND-00068,2024-09-09,2024-11-08,14000,USD,Overdue,60,
INV-000145,PO-00178,VEND-00175,2024-12-16,2025-01-30,15000,USD,Paid,45,2025-01-18
INV-000146,PO-00179,VEND-00116,2024-07-17,2024-09-15,69000,USD,Paid,60,2024-09-07
INV-000147,PO-00180,VEND-00032,2025-12-29,2026-02-27,10000,USD,Paid,60,2026-02-21
INV-000148,PO-00181,VEND-00127,2023-04-29,2023-06-28,6700,USD,Disputed,60,
INV-000149,PO-00182,VEND-00125,2023-11-22,2024-01-21,31000,USD,Overdue,60,
INV-000150,PO-00184,VEND-00033,2026-02-25,2026-04-26,66000,USD,Pending,60,
INV-000151,PO-00185,VEND-00041,2023-12-04,2024-01-18,2500,USD,Overdue,45,
INV-000152,PO-00186,VEND-00006,2025-06-21,2025-07-21,7400,USD,Paid,30,2025-07-15
INV-000153,PO-00187,VEND-00017,2024-03-28,2024-05-12,35000,USD,Paid,45,2024-05-12
INV-000154,PO-00188,VEND-00113,2026-02-18,2026-04-04,5000,USD,Paid,45,2026-04-01
INV-000155,PO-00189,VEND-00095,2024-07-04,2024-09-02,34500,USD,Paid,60,2024-08-26
INV-000156,PO-00190,VEND-00181,2025-06-29,2025-08-13,215000,USD,Paid,45,2025-08-06
INV-000157,PO-00191,VEND-00087,2023-07-19,2023-09-02,73000,USD,Paid,45,2023-08-27
INV-000158,PO-00194,VEND-00021,2025-07-11,2025-09-09,20650.0,USD,Paid,60,2025-09-02
INV-000159,PO-00195,VEND-00077,2025-10-30,2025-12-14,34500,USD,Paid,45,2025-12-10
INV-000160,PO-00196,VEND-00068,2026-02-07,2026-04-08,8000,USD,Paid,60,2026-03-31
INV-000161,PO-00197,VEND-00124,2023-04-14,2023-06-13,2300,USD,Paid,60,2023-06-06
INV-000162,PO-00198,VEND-00100,2023-07-19,2023-09-17,5000,USD,Paid,60,2023-09-14
INV-000163,PO-00200,VEND-00065,2025-04-15,2025-06-14,17000.0,USD,Paid,60,2025-06-08
INV-000164,PO-00201,VEND-00168,2024-08-21,2024-10-05,555000,USD,Paid,45,2024-09-27
INV-000165,PO-00202,VEND-00138,2024-03-16,2024-04-30,600,USD,Paid,45,2024-04-25
