po_id,vendor_id,contract_id,department_id,po_date,line_description,total_amount,currency,status,requestor_name,approval_level
PO-00001,VEND-00106,CTR-0061,DEPT-011,2024-04-10,Compliance advisory,85000,USD,Open,Hana Kobayashi,CFO
PO-00002,VEND-00140,,DEPT-002,2024-06-28,Toll-free services,3100,USD,Closed,Quinn Reyes,Dept Head
PO-00003,VEND-00189,,DEPT-001,2023-11-13,Temp-to-hire fee,25000,USD,Received,Cesar Ruiz,VP
PO-00004,VEND-00037,,DEPT-009,2024-12-06,Conference travel,41500,USD,Open,Jamie Chen,VP
PO-00005,VEND-00131,,DEPT-009,2023-02-20,Conference travel,7500,USD,Closed,Claire Benoit,Dept Head
PO-00006,VEND-00132,,DEPT-011,2026-04-13,Ergonomics,3100,USD,Closed,Luis Ortega,Dept Head
PO-00007,VEND-00194,CTR-0038,DEPT-020,2023-04-16,Events travel block,3000,USD,Closed,Aditi Shah,Dept Head
PO-00008,VEND-00179,,DEPT-013,2025-07-27,Warehousing month,12000,USD,Closed,Peter Chen,VP
PO-00009,VEND-00013,CTR-0013,DEPT-012,2023-04-02,Seat expansion QQ2,4600,USD,Open,Claire Benoit,Dept Head
PO-00010,VEND-00069,,DEPT-017,2025-05-30,Warehousing month,230000,USD,Closed,Samira Okafor,CFO
PO-00011,VEND-00072,CTR-0069,DEPT-004,2023-02-19,Security services,5300,USD,Open,Lena Brooks,Dept Head
PO-00012,VEND-00010,CTR-0010,DEPT-017,2025-06-01,Process transformation SOW,17500,USD,Cancelled,Aditi Shah,VP
PO-00013,VEND-00168,,DEPT-005,2026-01-13,Staff augmentation month,4100,USD,Received,Marco Alvarez,Dept Head
PO-00014,VEND-00005,CTR-0005,DEPT-003,2025-04-05,Contract engineer placement,7000,USD,Closed,Alex Rivera,Dept Head
PO-00015,VEND-00076,,DEPT-003,2023-04-05,IP counsel hours,1800,USD,Received,Cesar Ruiz,Dept Head
PO-00016,VEND-00120,,DEPT-004,2024-04-06,Ergonomics,3700,USD,Closed,Marco Alvarez,Dept Head
PO-00017,VEND-00054,,DEPT-019,2024-11-12,Last-mile delivery,6500,USD,Closed,Quinn Reyes,Dept Head
PO-00018,VEND-00139,,DEPT-001,2024-12-21,Security services,3100,USD,Open,Samira Okafor,Dept Head
PO-00019,VEND-00071,,DEPT-011,2023-06-07,Egress overage,5800,USD,Received,Claire Benoit,Dept Head
PO-00020,VEND-00032,CTR-0045,DEPT-017,2025-02-22,Specialist placement,1900,USD,Closed,Luis Ortega,Dept Head
PO-00021,VEND-00185,,DEPT-002,2024-09-09,Warehousing month,13000,USD,Received,Robin Park,VP
PO-00022,VEND-00064,CTR-0058,DEPT-012,2024-10-17,DR storage tier,5100,USD,Closed,Devon Parker,Dept Head
PO-00023,VEND-00078,,DEPT-020,2025-04-17,Annual SKO travel,17500,USD,Closed,Jamie Chen,VP
PO-00024,VEND-00064,CTR-0058,DEPT-008,2023-10-22,Reserved capacity,800,USD,Closed,Cesar Ruiz,Dept Head
PO-00025,VEND-00194,,DEPT-007,2025-12-19,Conference travel,1300,USD,Open,Claire Benoit,Dept Head
PO-00026,VEND-00199,,DEPT-016,2024-09-23,MPLS circuits month,39000,USD,Closed,Tomas Kellerman,VP
PO-00027,VEND-00075,,DEPT-010,2025-01-09,Conference travel,12500,USD,Closed,Quinn Reyes,VP
PO-00028,VEND-00140,,DEPT-001,2023-08-02,MPLS circuits month,6900,USD,Received,Naomi Weiss,Dept Head
PO-00029,VEND-00039,,DEPT-006,2025-05-21,Mobile fleet lines,2000,USD,Closed,Jamie Chen,Dept Head
PO-00030,VEND-00027,,DEPT-016,2025-04-01,Print consumables,2100,USD,Closed,Marco Alvarez,Dept Head
PO-00031,VEND-00177,,DEPT-017,2023-11-29,Compliance advisory,6000,USD,Received,Alex Rivera,Dept Head
PO-00032,VEND-00052,,DEPT-005,2023-09-27,Monthly cloud consumption,56000,USD,Closed,Marco Alvarez,CFO
PO-00033,VEND-00012,CTR-0012,DEPT-016,2024-03-13,Conference travel,5800,USD,Closed,Cesar Ruiz,Dept Head
PO-00034,VEND-00066,,DEPT-014,2024-06-17,Specialist placement,22500,USD,Received,Samira Okafor,VP
PO-00035,VEND-00188,,DEPT-004,2025-08-12,Process transformation SOW,6100,USD,Open,Cesar Ruiz,Dept Head
PO-00036,VEND-00159,,DEPT-014,2024-09-20,Warehousing month,41500,USD,Closed,Hana Kobayashi,VP
PO-00037,VEND-00166,,DEPT-009,2023-05-09,Security services,14500,USD,Closed,Alex Rivera,VP
PO-00038,VEND-00007,CTR-0007,DEPT-014,2025-03-13,Toll-free services,7500,USD,Closed,Claire Benoit,Dept Head
PO-00039,VEND-00006,CTR-0006,DEPT-017,2023-10-12,Media buy,5100,USD,Closed,Peter Chen,Dept Head
PO-00040,VEND-00163,,DEPT-011,2023-05-22,Annual SKO travel,153000,USD,Closed,Peter Chen,CFO
PO-00041,VEND-00094,CTR-0080,DEPT-019,2023-10-26,Landscaping,1800,USD,Closed,Claire Benoit,Dept Head
PO-00042,VEND-00038,,DEPT-017,2024-05-19,Conference travel,3600,USD,Closed,Derek Yoon,Dept Head
PO-00043,VEND-00088,CTR-0060,DEPT-011,2025-02-23,Breakroom supplies,4700,USD,Closed,Tomas Kellerman,Dept Head
PO-00044,VEND-00115,CTR-0036,DEPT-011,2026-02-09,Mobile fleet lines,5600,USD,Closed,Luis Ortega,Dept Head
PO-00045,VEND-00047,CTR-0078,DEPT-010,2025-04-01,Advisory engagement,43500,USD,Received,Quinn Reyes,VP
PO-00046,VEND-00008,CTR-0008,DEPT-013,2025-03-16,Ergonomics,3200,USD,Closed,Priya Raman,Dept Head
PO-00047,VEND-00158,,DEPT-018,2024-02-24,Freight LTL lane,700,USD,Open,Robin Park,Dept Head
PO-00048,VEND-00049,,DEPT-003,2025-10-05,IP counsel hours,600,USD,Open,Harish Patel,Dept Head
PO-00049,VEND-00088,,DEPT-004,2023-02-24,Ergonomics,5800,USD,Received,Derek Yoon,Dept Head
PO-00050,VEND-00067,,DEPT-006,2023-10-18,Laptop refresh batch,6200,USD,Closed,Claire Benoit,Dept Head
PO-00051,VEND-00136,,DEPT-020,2024-07-30,Implementation sprint,2000,USD,Closed,Hana Kobayashi,Dept Head
PO-00052,VEND-00183,,DEPT-010,2025-10-22,Print consumables,700,USD,Received,Naomi Weiss,Dept Head
PO-00053,VEND-00026,,DEPT-010,2024-08-04,Assessment phase,36000,USD,Received,Derek Yoon,VP
PO-00054,VEND-00014,,DEPT-012,2025-08-08,DR storage tier,19000,USD,Closed,Samira Okafor,VP
PO-00055,VEND-00133,,DEPT-011,2024-02-18,Freight LTL lane,35500,USD,Closed,Derek Yoon,VP
PO-00056,VEND-00098,,DEPT-011,2025-04-17,Contracts review package,800,USD,Closed,Devon Parker,Dept Head
PO-00057,VEND-00151,,DEPT-004,2023-10-30,Litigation retainer,1600,USD,Received,Cesar Ruiz,Dept Head
PO-00058,VEND-00111,,DEPT-008,2025-10-21,Implementation sprint,6500,USD,Closed,Alex Rivera,Dept Head
PO-00059,VEND-00029,,DEPT-017,2023-05-30,Advisory engagement,5000,USD,Received,Marco Alvarez,Dept Head
PO-00060,VEND-00043,,DEPT-001,2025-06-24,Mobile fleet lines,2300,USD,Closed,Luis Ortega,Dept Head
PO-00061,VEND-00178,,DEPT-019,2025-05-30,Compliance advisory,48000,USD,Received,Peter Chen,VP
PO-00062,VEND-00069,,DEPT-002,2025-11-18,Warehousing month,39500,USD,Closed,Aditi Shah,VP
PO-00063,VEND-00104,,DEPT-007,2025-04-08,DR storage tier,57000,USD,Open,Samira Okafor,CFO
PO-00064,VEND-00015,CTR-0015,DEPT-004,2024-03-14,Creative production,900,USD,Closed,Derek Yoon,Dept Head
PO-00065,VEND-00099,,DEPT-005,2024-07-01,HVAC maintenance,3000,USD,Open,Tomas Kellerman,Dept Head
PO-00066,VEND-00068,,DEPT-007,2023-08-06,Specialist placement,199000,USD,Closed,Claire Benoit,CFO
PO-00067,VEND-00157,,DEPT-020,2023-06-22,Litigation retainer,26000,USD,Open,Sasha Mwangi,VP
PO-00068,VEND-00009,CTR-0009,DEPT-001,2025-01-24,Monitors and peripherals,35000,USD,Closed,Quinn Reyes,VP
PO-00069,VEND-00065,,DEPT-020,2024-05-23,Freight LTL lane,1200,USD,Received,Naomi Weiss,Dept Head
PO-00070,VEND-00129,,DEPT-010,2025-06-10,Print consumables,224000,USD,Closed,Claire Benoit,CFO
PO-00071,VEND-00124,,DEPT-007,2025-12-21,Events travel block,4200,USD,Open,Robin Park,Dept Head
PO-00072,VEND-00165,CTR-0037,DEPT-010,2023-04-20,Annual subscription renewal,35500,USD,Received,Jamie Chen,VP
PO-00073,VEND-00007,CTR-0007,DEPT-002,2025-11-21,Network installation,4300,USD,Open,Marco Alvarez,Dept Head
PO-00074,VEND-00158,,DEPT-011,2026-03-30,Freight LTL lane,2000,USD,Open,Claire Benoit,Dept Head
PO-00075,VEND-00049,,DEPT-020,2023-08-21,Compliance advisory,234000,USD,Closed,Luis Ortega,CFO
PO-00076,VEND-00086,,DEPT-011,2024-09-12,Monitors and peripherals,241000,USD,Closed,Derek Yoon,CFO
PO-00077,VEND-00049,,DEPT-009,2024-07-11,IP counsel hours,28500,USD,Closed,Devon Parker,VP
PO-00078,VEND-00040,,DEPT-011,2023-10-21,Reserved capacity,1600,USD,Cancelled,Luis Ortega,Dept Head
PO-00079,VEND-00178,,DEPT-014,2023-12-22,IP counsel hours,41000,USD,Received,Owen Marsh,VP
PO-00080,VEND-00040,,DEPT-001,2024-05-09,Monthly cloud consumption,225000,USD,Closed,Cesar Ruiz,CFO
PO-00081,VEND-00067,,DEPT-007,2023-04-08,Laptop refresh batch,4100,USD,Closed,Aditi Shah,Dept Head
PO-00082,VEND-00092,CTR-0029,DEPT-018,2025-08-08,Platform support,240000,USD,Closed,Tomas Kellerman,CFO
PO-00083,VEND-00069,,DEPT-005,2023-09-03,Warehousing month,19000,USD,Closed,Hana Kobayashi,VP
PO-00084,VEND-00124,,DEPT-003,2024-07-29,Annual SKO travel,700,USD,Closed,Marco Alvarez,Dept Head
PO-00085,VEND-00021,,DEPT-007,2024-09-18,Campaign retainer,5500,USD,Closed,Naomi Weiss,Dept Head
PO-00086,VEND-00001,CTR-0001,DEPT-003,2024-10-24,DR storage tier,40500,USD,Closed,Harish Patel,VP
PO-00087,VEND-00168,,DEPT-004,2025-11-19,Staff augmentation month,21500,USD,Closed,Marco Alvarez,VP
PO-00088,VEND-00035,CTR-0043,DEPT-005,2023-01-04,Laptop refresh batch,25500,USD,Closed,Priya Raman,VP
PO-00089,VEND-00013,CTR-0013,DEPT-012,2025-10-08,Seat expansion QQ4,5200,USD,Closed,Hana Kobayashi,Dept Head
PO-00090,VEND-00107,,DEPT-019,2025-08-14,Monitors and peripherals,1900,USD,Open,Ingrid Voss,Dept Head
PO-00091,VEND-00033,,DEPT-011,2023-11-19,Litigation retainer,2800,USD,Closed,Alex Rivera,Dept Head
PO-00092,VEND-00025,CTR-0067,DEPT-004,2025-03-17,Seat expansion QQ4,1300,USD,Closed,Luis Ortega,Dept Head
PO-00093,VEND-00014,,DEPT-005,2023-02-01,Egress overage,1700,USD,Received,Alex Rivera,Dept Head
PO-00094,VEND-00077,,DEPT-011,2023-08-20,Temp-to-hire fee,76000,USD,Closed,Lena Brooks,CFO
PO-00095,VEND-00066,,DEPT-005,2023-12-29,Staff augmentation month,32000,USD,Closed,Aditi Shah,VP
PO-00096,VEND-00102,,DEPT-016,2024-03-15,Laptop refresh batch,37500,USD,Closed,Peter Chen,VP
PO-00097,VEND-00115,CTR-0036,DEPT-010,2023-01-07,Toll-free services,1200,USD,Open,Naomi Weiss,Dept Head
PO-00098,VEND-00181,,DEPT-009,2025-03-19,Platform support,40500,USD,Open,Cesar Ruiz,VP
PO-00099,VEND-00091,,DEPT-011,2024-07-19,Implementation sprint,1400,USD,Received,Sasha Mwangi,Dept Head
PO-00100,VEND-00040,,DEPT-015,2025-01-21,DR storage tier,43500,USD,Received,Priya Raman,VP
PO-00101,VEND-00047,CTR-0078,DEPT-019,2024-09-11,Advisory engagement,1000,USD,Closed,Peter Chen,Dept Head
PO-00102,VEND-00152,,DEPT-020,2024-05-10,Mobile fleet lines,11500,USD,Open,Ingrid Voss,VP
PO-00103,VEND-00039,,DEPT-015,2024-01-17,Network installation,6400,USD,Closed,Devon Parker,Dept Head
PO-00104,VEND-00113,,DEPT-006,2024-02-17,IP counsel hours,210000,USD,Closed,Marco Alvarez,CFO
PO-00105,VEND-00106,CTR-0061,DEPT-004,2023-10-27,IP counsel hours,1000,USD,Open,Robin Park,Dept Head
PO-00106,VEND-00192,,DEPT-018,2024-11-17,Freight LTL lane,6400,USD,Closed,Samira Okafor,Dept Head
PO-00107,VEND-00111,,DEPT-012,2025-06-25,Advisory engagement,24500,USD,Open,Harish Patel,VP
PO-00108,VEND-00180,,DEPT-002,2023-11-03,Annual subscription renewal,223000,USD,Closed,Harish Patel,CFO
PO-00109,VEND-00192,,DEPT-008,2024-11-06,Last-mile delivery,32000,USD,Received,Marco Alvarez,VP
PO-00110,VEND-00176,CTR-0025,DEPT-001,2025-06-27,Reserved capacity,31000,USD,Received,Jamie Chen,VP
PO-00111,VEND-00158,,DEPT-002,2026-04-02,Last-mile delivery,21500,USD,Received,Alex Rivera,VP
PO-00112,VEND-00036,,DEPT-009,2026-03-11,HVAC maintenance,41000,USD,Open,Robin Park,VP
PO-00113,VEND-00062,CTR-0050,DEPT-005,2025-12-22,Datacenter hardware,36000,USD,Received,Jamie Chen,VP
PO-00114,VEND-00008,CTR-0008,DEPT-015,2023-02-19,Print consumables,600,USD,Cancelled,Devon Parker,Dept Head
PO-00115,VEND-00154,,DEPT-004,2025-08-23,Conference travel,7200,USD,Closed,Priya Raman,Dept Head
PO-00116,VEND-00008,CTR-0008,DEPT-014,2023-03-18,Print consumables,3400,USD,Closed,Ingrid Voss,Dept Head
PO-00117,VEND-00009,,DEPT-018,2024-03-01,Monitors and peripherals,18500,USD,Open,Julia Hwang,VP
PO-00118,VEND-00193,,DEPT-009,2023-01-13,Security services,17500,USD,Received,Jamie Chen,VP
PO-00119,VEND-00158,,DEPT-002,2023-10-01,Warehousing month,44000,USD,Cancelled,Priya Raman,VP
PO-00120,VEND-00173,,DEPT-010,2023-03-13,Ergonomics,2500,USD,Closed,Julia Hwang,Dept Head
PO-00121,VEND-00106,CTR-0061,DEPT-014,2025-04-21,Litigation retainer,19000,USD,Closed,Julia Hwang,VP
PO-00122,VEND-00050,CTR-0016,DEPT-019,2023-08-04,Network installation,229000,USD,Received,Ingrid Voss,CFO
PO-00123,VEND-00104,,DEPT-005,2023-10-01,DR storage tier,33500,USD,Open,Alex Rivera,VP
PO-00124,VEND-00015,CTR-0015,DEPT-005,2023-02-10,Brand refresh SOW,6000,USD,Open,Lena Brooks,Dept Head
PO-00125,VEND-00086,,DEPT-009,2025-11-01,Datacenter hardware,6900,USD,Closed,Marco Alvarez,Dept Head
PO-00126,VEND-00176,,DEPT-007,2025-07-18,Monthly cloud consumption,36500,USD,Closed,Derek Yoon,VP
PO-00127,VEND-00188,,DEPT-020,2025-06-20,Assessment phase,16000,USD,Closed,Marco Alvarez,VP
PO-00128,VEND-00141,CTR-0028,DEPT-005,2024-08-02,Landscaping,149000,USD,Closed,Owen Marsh,CFO
PO-00129,VEND-00026,,DEPT-004,2025-01-13,Implementation sprint,6000,USD,Open,Naomi Weiss,Dept Head
PO-00130,VEND-00165,CTR-0037,DEPT-012,2023-06-12,Seat expansion QQ2,1900,USD,Closed,Samira Okafor,Dept Head
PO-00131,VEND-00127,,DEPT-014,2024-09-01,Assessment phase,2600,USD,Closed,Quinn Reyes,Dept Head
PO-00132,VEND-00100,,DEPT-010,2023-12-11,Litigation retainer,23500,USD,Received,Harish Patel,VP
PO-00133,VEND-00110,,DEPT-003,2026-01-19,Warehousing month,42500,USD,Closed,Peter Chen,VP
PO-00134,VEND-00050,CTR-0016,DEPT-008,2023-02-20,MPLS circuits month,45500,USD,Closed,Claire Benoit,VP
PO-00135,VEND-00173,CTR-0072,DEPT-003,2026-03-25,Quarterly office supplies replen,20000,USD,Closed,Derek Yoon,VP
PO-00136,VEND-00019,,DEPT-002,2025-06-04,Cleaning services month,6700,USD,Closed,Alex Rivera,Dept Head
PO-00137,VEND-00050,CTR-0016,DEPT-016,2025-11-16,Mobile fleet lines,38500,USD,Received,Robin Park,VP
PO-00138,VEND-00140,,DEPT-012,2024-09-16,Toll-free services,1400,USD,Open,Sasha Mwangi,Dept Head
PO-00139,VEND-00004,CTR-0004,DEPT-007,2024-11-05,IP counsel hours,3500,USD,Closed,Jamie Chen,Dept Head
PO-00140,VEND-00025,CTR-0067,DEPT-014,2026-03-16,Seat expansion QQ1,4500,USD,Closed,Rafael Mendez,Dept Head
PO-00141,VEND-00170,,DEPT-002,2025-09-02,Quarterly office supplies replen,5600,USD,Closed,Harish Patel,Dept Head
PO-00142,VEND-00084,CTR-0041,DEPT-012,2026-03-12,Customs clearance,38000,USD,Closed,Ingrid Voss,VP
PO-00143,VEND-00078,,DEPT-011,2025-05-08,Annual SKO travel,450000,USD,Closed,Owen Marsh,CEO
PO-00144,VEND-00188,,DEPT-004,2026-03-19,Assessment phase,34000,USD,Received,Quinn Reyes,VP
PO-00145,VEND-00113,,DEPT-019,2024-07-17,IP counsel hours,6700,USD,Closed,Cesar Ruiz,Dept Head
PO-00146,VEND-00145,,DEPT-001,2024-02-25,Customs clearance,2400,USD,Closed,Jamie Chen,Dept Head
PO-00147,VEND-00183,,DEPT-017,2023-03-24,Print consumables,500,USD,Closed,Robin Park,Dept Head
PO-00148,VEND-00190,CTR-0051,DEPT-010,2025-09-21,Compliance advisory,203000,USD,Closed,Hana Kobayashi,CFO
PO-00149,VEND-00174,,DEPT-003,2025-05-11,Assessment phase,127000,USD,Closed,Devon Parker,CFO
PO-00150,VEND-00098,,DEPT-014,2023-08-03,Contracts review package,21500,USD,Received,Peter Chen,VP
PO-00151,VEND-00017,,DEPT-020,2026-03-27,Staff augmentation month,243000,USD,Open,Robin Park,CFO
PO-00152,VEND-00073,,DEPT-003,2023-09-02,Reserved capacity,6100,USD,Received,Derek Yoon,Dept Head
PO-00153,VEND-00193,,DEPT-002,2025-01-31,Security services,13500,USD,Received,Derek Yoon,VP
PO-00154,VEND-00114,,DEPT-006,2026-02-06,Events travel block,48000,USD,Received,Luis Ortega,VP
PO-00155,VEND-00067,,DEPT-020,2024-11-05,Networking gear,24500,USD,Closed,Claire Benoit,VP
PO-00156,VEND-00065,,DEPT-012,2023-12-24,Freight LTL lane,7400,USD,Closed,Jamie Chen,Dept Head
PO-00157,VEND-00157,,DEPT-014,2025-09-15,IP counsel hours,35000,USD,Received,Marco Alvarez,VP
PO-00158,VEND-00067,,DEPT-016,2025-12-25,Laptop refresh batch,32500,USD,Closed,Samira Okafor,VP
PO-00159,VEND-00080,,DEPT-020,2025-10-16,Freight LTL lane,7800,USD,Closed,Harish Patel,Dept Head
PO-00160,VEND-00061,,DEPT-011,2024-08-15,Toll-free services,144000,USD,Received,Harish Patel,CFO
PO-00161,VEND-00159,,DEPT-004,2025-07-17,Last-mile delivery,4400,USD,Closed,Claire Benoit,Dept Head
PO-00162,VEND-00106,CTR-0061,DEPT-006,2023-07-11,Compliance advisory,76000,USD,Open,Naomi Weiss,CFO
PO-00163,VEND-00180,CTR-0065,DEPT-016,2026-04-11,Add-on modules,28000,USD,Open,Devon Parker,VP
PO-00164,VEND-00190,CTR-0051,DEPT-018,2024-01-15,IP counsel hours,4000,USD,Closed,Jamie Chen,Dept Head
PO-00165,VEND-00157,,DEPT-007,2023-06-23,Litigation retainer,24000,USD,Received,Devon Parker,VP
PO-00166,VEND-00031,,DEPT-010,2023-06-09,Conference travel,1600,USD,Received,Naomi Weiss,Dept Head
PO-00167,VEND-00131,,DEPT-007,2025-07-30,Conference travel,4500,USD,Received,Aditi Shah,Dept Head
PO-00168,VEND-00091,,DEPT-001,2025-01-03,Implementation sprint,53000,USD,Received,Tomas Kellerman,CFO
PO-00169,VEND-00189,,DEPT-012,2025-06-21,Contract engineer placement,238000,USD,Open,Aditi Shah,CFO
PO-00170,VEND-00086,,DEPT-003,2025-09-25,Datacenter hardware,700,USD,Received,Claire Benoit,Dept Head
PO-00171,VEND-00152,,DEPT-003,2024-05-26,Toll-free services,3000,USD,Received,Jamie Chen,Dept Head
PO-00172,VEND-00002,,DEPT-010,2023-10-19,Platform support,6100,USD,Open,Devon Parker,Dept Head
PO-00173,VEND-00199,,DEPT-012,2025-10-16,Mobile fleet lines,600,USD,Closed,Naomi Weiss,Dept Head
PO-00174,VEND-00008,,DEPT-014,2024-07-13,Ergonomics,39000,USD,Closed,Lena Brooks,VP
PO-00175,VEND-00083,,DEPT-009,2025-11-20,DR storage tier,35500,USD,Open,Tomas Kellerman,VP
PO-00176,VEND-00045,CTR-0039,DEPT-018,2025-05-26,Campaign retainer,4500,USD,Received,Devon Parker,Dept Head
PO-00177,VEND-00068,,DEPT-017,2024-08-04,Specialist placement,14000,USD,Open,Priya Raman,VP
PO-00178,VEND-00175,,DEPT-010,2024-12-14,Datacenter hardware,15000,USD,Closed,Alex Rivera,VP
PO-00179,VEND-00116,,DEPT-013,2024-07-07,HVAC maintenance,69000,USD,Received,Hana Kobayashi,CFO
PO-00180,VEND-00032,CTR-0045,DEPT-002,2025-11-29,Specialist placement,10000,USD,Closed,Robin Park,VP
PO-00181,VEND-00127,CTR-0055,DEPT-013,2023-04-26,Assessment phase,6700,USD,Received,Jamie Chen,Dept Head
PO-00182,VEND-00125,,DEPT-013,2023-10-26,Implementation sprint,31000,USD,Received,Alex Rivera,VP
PO-00183,VEND-00154,,DEPT-018,2024-09-02,Annual SKO travel,40000,USD,Closed,Devon Parker,VP
PO-00184,VEND-00033,,DEPT-002,2026-01-19,Litigation retainer,66000,USD,Open,Devon Parker,CFO
PO-00185,VEND-00041,CTR-0021,DEPT-006,2023-11-18,Specialist placement,2500,USD,Closed,Priya Raman,Dept Head
PO-00186,VEND-00006,CTR-0006,DEPT-008,2025-06-17,Brand refresh SOW,7400,USD,Closed,Naomi Weiss,Dept Head
PO-00187,VEND-00017,,DEPT-018,2024-02-29,Staff augmentation month,35000,USD,Received,Marco Alvarez,VP
PO-00188,VEND-00113,,DEPT-016,2026-01-15,Contracts review package,5000,USD,Closed,Julia Hwang,Dept Head
PO-00189,VEND-00095,,DEPT-006,2024-06-23,Laptop refresh batch,34500,USD,Closed,Tomas Kellerman,VP
PO-00190,VEND-00181,,DEPT-012,2025-06-07,Platform support,215000,USD,Closed,Ingrid Voss,CFO
PO-00191,VEND-00087,,DEPT-002,2023-06-26,IP counsel hours,73000,USD,Received,Rafael Mendez,CFO
